Frame,Time,Speed_kmh,Target_Speed,Steer,Throttle,Brake,State,Lane_ID,Front_Dist,L_Free,R_Free,Ego_X,Ego_Y
193,9.65,95.68,95.00,-0.0178,0.00,0.00,KEEP_LANE,-4,999.00,True,False,-427.07,403.63
194,9.70,94.89,95.00,-0.0183,0.40,0.00,KEEP_LANE,-4,999.00,True,False,-425.96,404.36
195,9.75,93.83,95.00,-0.0167,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-424.86,405.07
196,9.80,92.62,95.00,-0.0159,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-423.77,405.76
197,9.85,91.48,95.00,-0.0168,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-422.69,406.44
198,9.90,90.58,95.00,-0.0169,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-421.61,407.10
199,9.95,90.08,95.00,-0.0169,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-420.54,407.75
200,10.00,89.97,95.00,-0.0165,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-419.47,408.40
201,10.05,90.16,95.00,-0.0140,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-418.39,409.03
202,10.10,90.56,95.00,-0.0154,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-417.31,409.66
203,10.15,91.12,95.00,-0.0158,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-416.21,410.28
204,10.20,91.80,95.00,-0.0162,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-415.10,410.91
205,10.25,92.56,95.00,-0.0166,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-413.98,411.53
206,10.30,93.39,95.00,-0.0135,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-412.84,412.14
207,10.35,94.27,95.00,-0.0159,0.94,0.00,KEEP_LANE,-4,999.00,True,False,-411.69,412.76
208,10.40,95.16,95.00,-0.0168,0.00,0.00,KEEP_LANE,-4,999.00,True,False,-410.53,413.38
209,10.45,95.98,95.00,-0.0175,0.00,0.00,KEEP_LANE,-4,999.00,True,False,-409.35,413.99
210,10.50,96.40,95.00,-0.0182,0.00,0.00,KEEP_LANE,-4,999.00,True,False,-408.16,414.60
211,10.55,96.22,95.00,-0.0152,0.00,0.00,KEEP_LANE,-4,999.00,True,False,-406.97,415.20
212,10.60,95.57,95.00,-0.0176,0.00,0.00,KEEP_LANE,-4,999.00,True,False,-405.77,415.79
213,10.65,94.61,95.00,-0.0182,0.64,0.00,KEEP_LANE,-4,999.00,True,False,-404.59,416.37
214,10.70,93.46,95.00,-0.0184,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-403.41,416.94
215,10.75,92.36,95.00,-0.0182,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-402.25,417.49
216,10.80,91.49,95.00,-0.0147,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-401.09,418.02
217,10.85,91.01,95.00,-0.0164,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-399.94,418.55
218,10.90,90.92,95.00,-0.0167,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-398.78,419.07
219,10.95,91.11,95.00,-0.0170,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-397.63,419.57
220,11.00,91.52,95.00,-0.0172,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-396.46,420.07
221,11.05,92.08,95.00,-0.0139,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-395.29,420.57
222,11.10,92.76,95.00,-0.0161,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-394.10,421.06
223,11.15,93.52,95.00,-0.0167,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-392.90,421.55
224,11.20,94.34,95.00,-0.0172,0.86,0.00,KEEP_LANE,-4,999.00,True,False,-391.69,422.03
225,11.25,95.18,95.00,-0.0176,0.00,0.00,KEEP_LANE,-4,999.00,True,False,-390.46,422.51
226,11.30,95.89,95.00,-0.0145,0.00,0.00,KEEP_LANE,-4,999.00,True,False,-389.22,422.99
227,11.35,96.18,95.00,-0.0168,0.00,0.00,KEEP_LANE,-4,999.00,True,False,-387.97,423.46
228,11.40,95.88,95.00,-0.0177,0.00,0.00,KEEP_LANE,-4,999.00,True,False,-386.72,423.92
229,11.45,95.15,95.00,-0.0183,0.00,0.00,KEEP_LANE,-4,999.00,True,False,-385.47,424.38
230,11.50,94.13,95.00,-0.0185,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-384.24,424.81
231,11.55,92.96,95.00,-0.0149,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-383.01,425.24
232,11.60,91.83,95.00,-0.0166,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-381.80,425.65
233,11.65,90.94,95.00,-0.0168,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-380.59,426.06
234,11.70,90.45,95.00,-0.0169,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-379.40,426.44
235,11.75,90.35,95.00,-0.0170,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-378.20,426.82
236,11.80,90.54,95.00,-0.0137,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-377.00,427.20
237,11.85,90.95,95.00,-0.0158,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-375.79,427.56
238,11.90,91.51,95.00,-0.0164,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-374.58,427.92
239,11.95,92.19,95.00,-0.0169,1.00,0.00,KEEP_LANE,-4,999.00,True,False,-373.35,428.27
