Frame,Time,Speed_kmh,Target_Speed,Steer,Throttle,Brake,State,Lane_ID,Front_Dist,L_Free,R_Free
269,13.45,5.71,5.00,-0.0018,0.00,0.00,KEEP_LANE,-1,59.44,False,False
270,13.50,5.81,5.00,-0.0017,0.00,0.00,KEEP_LANE,-1,59.36,False,False
271,13.55,5.79,5.00,-0.0019,0.00,0.00,KEEP_LANE,-1,59.28,False,False
272,13.60,5.73,5.00,-0.0016,0.00,0.00,KEEP_LANE,-1,59.20,False,False
273,13.65,5.65,5.00,-0.0018,0.00,0.00,KEEP_LANE,-1,59.12,False,False
274,13.70,5.55,5.00,-0.0015,0.00,0.00,KEEP_LANE,-1,59.05,False,False
275,13.75,5.45,5.00,-0.0017,0.00,0.00,KEEP_LANE,-1,58.97,False,False
276,13.80,5.34,5.00,-0.0014,0.00,0.00,KEEP_LANE,-1,58.90,False,False
277,13.85,5.23,5.00,-0.0017,0.00,0.00,KEEP_LANE,-1,58.82,False,False
278,13.90,5.13,5.00,-0.0013,0.00,0.00,KEEP_LANE,-1,58.75,False,False
279,13.95,5.02,5.00,-0.0015,0.00,0.00,KEEP_LANE,-1,58.68,False,False
280,14.00,4.92,5.00,-0.0012,0.00,0.00,KEEP_LANE,-1,58.61,False,False
281,14.05,4.82,5.00,-0.0014,0.05,0.00,KEEP_LANE,-1,58.54,False,False
282,14.10,4.54,5.00,-0.0008,0.39,0.00,KEEP_LANE,-1,58.48,False,False
283,14.15,4.38,5.00,-0.0013,0.61,0.00,KEEP_LANE,-1,58.42,False,False
284,14.20,4.45,5.00,-0.0008,0.58,0.00,KEEP_LANE,-1,58.36,False,False
285,14.25,4.64,5.00,-0.0012,0.42,0.00,KEEP_LANE,-1,58.29,False,False
286,14.30,5.13,5.00,-0.0014,0.00,0.00,KEEP_LANE,-1,58.22,False,False
287,14.35,5.51,5.00,-0.0018,0.00,0.00,KEEP_LANE,-1,58.15,False,False
288,14.40,5.85,5.00,-0.0016,0.00,0.00,KEEP_LANE,-1,58.07,False,False
